CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Abel Alcantar,ECO-61352,"Prod: vJunosEvolved 24.4/R1: New SW Release per the Affected Items Section.

This ECO releases ""820/822"" P/N's into Production as standalone images.

1. ""820/822"" Application Package, Application Tools Production Release.",Production Release of vJunosEvolved 24.4/R1. These (4) images are being posted to the Web for download. Distribution Type - General.,43:22.0
Richard Hood,ECO-61386,"Pilot: 430-151059 Fan, 80x80x86mm, 165 CFM, 12V, 4 Pin Conn, 195mm cable, 8 Slot, PTX-Obsidian: Update per the Affected Items Section.

1. 430-151059, Rev 02:
- Add a PE braided jacket to the fan wire harness.
- Attached 430-151059_DFPB0886B2HY007_D1_21dec2024.pdf to AVC MPN.

2. 750-150708, 750-151198, 760-150707, 760-151202:
- Rev to Track.",Add PE braided jacket to wire harness to prevent potential abrasion of wire insulation by Fan Tray Sheetmetal.,11:06.0
Pooja Siraskar,ECO-61466,"***ECO-61465 is a Pre-requisite***

Proto: Transition to Proto Lifecycle and Open Books (PP) the JCPO - JUNIPER CERTIFIED PRE OWNED Product Numbers.

Releasing to Prototype Lifecycle, Rev 1A. Set Order Management Flag to PP-Available to Order for the following SKUs:

Releasing to Prototype Lifecycle, Rev 1A:

ACX2200AC-E
MX10KLC2101E-E
JNPMIC1MACSEC-E
JPSU550CDCAFO-J
SRX345SYSJBOMP-J
JPSU550CACAFO-J
JPSU550CACAFOOMP-J
JNPMIC1MACSCOMP-E
JNP10008SFOMP-E
SRX345SYSJB2AC-J

PDC Action:
1] Order Management flag will be set to PP-Available to Order post approvals, prior to release.
2] Attached product number key field validation report for reference.",Proto Release/Open-Books required to enable bookings in SAP,53:47.0
Pooja Siraskar,ECO-61415,"Proto: PTX-Ardbeg 511-180219 & 511-180218 : Releasing this ECO to replace the current Fab dwg as there is a minor Rev up from REV01 to REV01A .

511-180219:  FAB, PCB, Ardbeg Main Board, Etch4, PTX-Ardbeg
511-180218:  Fab, PCB, Ardbeg RE board, Etch3, PTX-Ardbeg  

- Reason for Rev Up: To specify the CoP (Co-planarity requirement) across the cSTACK location in the current Fab dwg as per connector supplier (Amphenol's dwg) recommendation 

shows a max CoP of 0.08mm (~3 mils) across the entire cStack footprint pad array (~ 2"" long) and this is tighter than our PCB Workmanship Spec, so need to be noted on the fab dwg. so that Fab vendors can measure and make sure that they are inline with this CoP measurements and process the PCBs and there wont be no impact to actual PCBs or design

Note: Attached the Rev Up (REV01A) Fab dwg in the attachment Tab so PDC need to replace the existing Fab dwg from both 511-180219 & 511-180218 attachments


Reference: J3.02.P03.M01 Business Process, FAB-ASSY-CAD Deliverables and Release Procedure
Minor Alpha-Numeric Revision change: (FAB Drawing/Documentation ONLY):
Revision changes will reflect Alpha-Numeric (i.e. from Rev 01 to Rev 01A)
Examples to address decision making for permissible Alpha-Numeric revision changes:
a. Assembly drawing updates
b. Fab notes updates (surface finish, Insertion Loss, etc.)
c. Drill diameter (that does not have a drill file)
d. Hole count update
e. Panel Rotation
Note: Under these stipulations, there is no need to generate new Gerber files, only the Fab drawing .pdf will be rev’d and replaced in Agile via an ECO (Under 511/512- attachment)",To specify the CoP (Co-planarity requirement) across the cSTACK location in the current Fab dwg as per connector supplier (Amphenol's dwg) recommendation,28:02.0
Sunil H K,M38474,"*** Manufacturer CleanUp Activity***

MCO to remove DOF-CLSMONTERREY from AVL of all the Inactive PNs in ""Affectedd Items"" as no longer shipping of any Juniper product from this site :

Inactive : (151) in Affected Items list",Cleaning up AVL since DOF-CLSMONTERREY is no longer shipping any Juniper product.,41:33.0
Girija Amaragol,M38770,"Prod: MCO for AVL DMC Supplier MPN Lifecycle update:

511-125577: FAB, PCB, wolverine main board, 48x50G, 6x400G, Etch3, ACX-X-Men

- Update PN: 511-125577 from DMC with laminate material EM891K
DMC fab qualification was successful.

- Attached Stack-up, PCB approval/DFM file under MPN attachment tab.
- Attached RoHS, Reach documents under MPN attachment tab.
- Z2 Ticket 14883 submitted for compliance update.

Notes to PDC: 
1.PDC will update the DMC with EM891K laminate before release of this MCO
2.PDC to set AVL DMC MPN Lifecycle from ""Prod_IPQ"" to ""Active""","MCO to add DMC as an approved supplier for P/N 511-125577 using laminate EM891K.
DMC fab qualification was successful. HTR results are added for reference.

Reference # DEV-24355
PR-1819134",59:54.0
Prameela R,M38764A,"Closure of EOL Reactivation for CM Split

Restore to EOL (Inactive):
Customer : Microsoft
JNP-MIC1-MACSEC
SO# 16323139
Requestor : Julie Lim",Closure of EOL Reactivation for CM Split,41:43.0
Sherry Nguyen,M37563O,"***Revert back on 01/24/2025***

Closure of EOL Reactivation for HW- Inventory Required from CM

Restore From Production to Inactive 

***Deal Value is more than 2M$, Orders are booked in multiple small Qtys***

PO in hand. Hence reactivating w.r.t M36706

Restore to EOL (Inactive) from SHIP (Production):
Customer : SHENZHEN TENCENT
Distributor : Westcon solutions
SKU : 
MX2K-MPC6E-RB  
S-MPC6E-ADV-IR
S-MPC6E-ADV-R
MX2K-MPC9E-RB  
S-MPC9E-IR
S-MPC9E-R

PLM Approval : Arun",Closure of EOL Reactivation for HW- Inventory Required from CM,39:43.0
Girija Amaragol,DEV-25289,"Prod: This DEV is to allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test.

1. JPN 240-046318
Description: Osc, 187.5MHz, 20ppm, 45/55, 2.5V, LVPECL, I-temp, OEH, SMT-6, 5x7mm
MPN: 531EC187M500DGR
Supplier: SKYWORKS SOLUTIONS, INC.
Site balance: FUHONG PRECISION COMPONENT BAC GIANG CO. LTD 
Total Qty to use: 205 pcs (DC 2236) & 127 pcs (DC 2244)

2. JPN 240-054842
Description: VCXO, 77.76MHz, 20ppm Stab, Absolute Pull Range 50ppm, 45/55, 3.3V, CMOS, 15pF Load, OEH, I-temp, SMT-6, 3.2x5mm
MPN: VV-800-EAE-KAAE-77M7600000
Supplier: MICROCHIP TECHNOLOGY
Site balance: FUHONG PRECISION COMPONENT BAC GIANG CO. LTD 
Total Qty to use: 108 pcs
DC: 2225

3. JPN 240-077762
Description: OCXO, 20MHz, 10ppb p2p temp stab, 45/55, 3.3V, LVCMOS, 15pF, Stratum 3E, I-Temp, SMT-4, 12.7x20.32x12.5mm
MPN: OX-403-0008-A-20M000
Supplier: MICROCHIP TECHNOLOGY
Site balance: FUHONG PRECISION COMPONENT BAC GIANG CO. LTD 
Total Qty to use: 139 pcs
DC: 2242

4. JPN 240-086944
Description: OSC, 125MHz, 25ppm, 45/55, 2.3V-3.6V, diff LVPECL, 15pF, MEMS, OEH, SMT-6, 2.5x3.2mm
MPN: SIT9120AC-1B2-XXE125.000000
Supplier: SITIME CORP
Site balance: FUHONG PRECISION COMPONENT BAC GIANG CO. LTD 
Total Qty to use: 11 pcs
DC: 2222

5. JPN 240-114218
Description: TCXO, 25.0MHz, 0.3ppm Temp Stability, 3ppm for 10 years Total stability, 45/55, 3.3V, 15pF, HCMOS, OEH, Industrial temp, SMT-10, 3.2x5.0mm
MPN: TG5032CGN 25.00000MHZ CMGHNA
Supplier: EPSON
Site balance: FUHONG PRECISION COMPONENT (BAC GIANG)
Total Qty to use: 178 pcs (DC 2202) & 5 pcs (DC 2237)

6. JPN 240-121165
Description: Osc, 25.000MHz, 50ppm, 45/55, 2.5V, CMOS, 15pF, SMT- 4, 5X3.2mm
MPN: 7C25070017
Supplier: TXC CORPORATION INC 
Site balance: FUHONG PRECISION COMPONENT (BAC GIANG)
Total Qty to use: 575 pcs
DC: 2217",To allow FOXCONN-VIETNAM to use material with DC over 2 years to support production build based on good result of solderability test,35:17.0
Sarangabani S,DEV-24369A,"This DEV is to allow Flex Penang to use old date code inventory for oscillator/crystal  (per attached PN) to support production.

240-016305
240-023128
240-025638
240-026719
240-034503
240-036683
240-037947
240-045300
240-045826
240-053071
240-054786
240-067405
240-086944
240-115464
240-126496

No deviation label required.","Reason for extension (A): 12/26/24: still have below QTY to deplete.

PN: 240-016305, Qty: 497, DC: 2206, MFG PN: ATS25ASM-1
PN: 240-023128, Qty: 1000, DC: 2222, MFG PN: TS250F22CLT
PN: 240-025638, Qty: 680, DC: 2119, MFG PN: 49M4R-64.000M-C603-Z60-T
PN: 240-034503, Qty: 556, DC: 2205, MFG PN: VCC1-B3D-25M0000000
PN: 240-034503, Qty: 445, DC: 2222, MFG PN: VCC1-B3D-25M0000000
PN: 240-036683, Qty: 22, DC: 2207, MFG PN: VCC1-103-25M0000000
PN: 240-037947, Qty: 475, DC: 2220, MFG PN: MC-306 32.7680K-E0:ROHS
PN: 240-045300, Qty: 91, DC: 2135, MFG PN: VCC6-1304-100M000000
PN: 240-045300, Qty: 486, DC: 2205, MFG PN: VFXO401-BGGCLT-100.000MHZ
PN: 240-045826, Qty: 413, DC: 2144, MFG PN: VC-709-PCIE2-100M000000

This DEV is to allow Flex Penang to use old date part to support production.
PN:240-016305, DC:2140, Qty:28, MFG PN:ATS25ASM-1 ,MFG:CTS , Remark:24 months and above
PN:240-016305, DC:2205, Qty:179, MFG PN:ATS25ASM-1 ,MFG:CTS , Remark:24 months and above
PN:240-016305, DC:2206, Qty:497, MFG PN:ATS25ASM-1 ,MFG:CTS , Remark:24 months and above
PN:240-023128, DC:2142, Qty:15, MFG PN:9C25077004 ,MFG:TXC , Remark:24 months and above
PN:240-023128, DC:2222, Qty:1000, MFG PN:TS250F22CLT ,MFG:CTS , Remark:24 months and above
PN:240-025638, DC:2119, Qty:680, MFG PN:49M4R-64.000M-C603-Z60-T ,MFG:IMPACT LLC , Remark:24 months and above
PN:240-026719, DC:2222, Qty:354, MFG PN:49MLR-25.00M-C2R2-16T ,MFG:IMPACT LLC , Remark:24 months and above
PN:240-034503, DC:2205, Qty:567, MFG PN:VCC1-B3D-25M0000000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-034503, DC:2222, Qty:503, MFG PN:VCC1-B3D-25M0000000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-036683, DC:2207, Qty:22, MFG PN:VCC1-103-25M0000000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-037947, DC:2220, Qty:475, MFG PN:MC-306 32.7680K-E0:ROHS ,MFG:EPSON , Remark:24 months and above
PN:240-045300, DC:2135, Qty:91, MFG PN:VCC6-1304-100M000000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-045300, DC:2205, Qty:486, MFG PN:VFXO401-BGGCLT-100.000MHZ ,MFG:CTS , Remark:24 months and above
PN:240-045826, DC:2144, Qty:413, MFG PN:VC-709-PCIE2-100M000000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-053071, DC:2207, Qty:19, MFG PN:531EC125M000DGR ,MFG:SKYWORKS , Remark:24 months and above
PN:240-054786, DC:2217, Qty:64, MFG PN:9H03200031 ,MFG:TXC , Remark:24 months and above
PN:240-067405, DC:2222, Qty:292, MFG PN:VC-820-EAE-EAAN-18M4320000 ,MFG:MICROCHIP , Remark:24 months and above
PN:240-086944, DC:2204, Qty:529, MFG PN:SIT9120AC-1B2-XXE125.000000Y ,MFG:SITIME , Remark:24 months and above
PN:240-115464, DC:2207, Qty:162, MFG PN:531AB50M0000DGR ,MFG:SKYWORKS , Remark:24 months and above
PN:240-126496, DC:2144, Qty:88, MFG PN:FL2500316Z ,MFG:DIODES , Remark:24 months and above",20:58.0
Prameela R,ECO-61430,"Proto: SRX-Casino Royale TAA SKUs Proto Release Per Affected Items Section.

Structure BOM and transition the below SKUs to prototype lifecycle:
SRX4700-1400G-AC-T
SRX4700-1400G-DC-T
SRX4700-700G-AC-T
SRX4700-700G-DC-T

Update AVL to add FOXCONN-VIETNAM to the below:
750-188940
750-188939
SRX4700-1400G-AC-T
SRX4700-1400G-DC-T
SRX4700-700G-AC-T
SRX4700-700G-DC-T",Proto release of SRX4700 TAA SKUs,11:40.0
Sherry Nguyen,ECO-61460,"Prod: PROC-0047; Business Process, Production Line Hipot and Ground Bond Test Procedure, M160/M40e; M120, M320/T640/T320; T1600; MX-Series,QFX, SRX, TX Matrix-Hobson, TXP-Absolute, ACX-Guardian; QFX-Spectrolite-Hillside, ACX-Gamora 

PROC-0047: Rev 39
- Added SRX4700 HiPot and Ground Bond requirements in section 1.4 (ECO-61460)",To align Casino Royale SRX4700 with safety team requirements for Hipot and Ground Bond test.,21:06.0
Pradeep Holla,ECO-61376,"Prod: vJunos-Router, 24.2/R1-S2: New SW Release per the Affected Items Section.

This ECO releases ""820/822"" P/N's into Production as standalone images.

1. ""820/822"" Application Package Production Release.","Production Release of vJunos-Router,24.2/R1-S2. This (3) image is being posted to the Web for download. Distribution Type - General.",09:06.0
Sunil H K,ECO-61271,"Prod: ECO to update 650-173638 BOM as per attached Rev02 hybrid bom file

Wall mount kit: Plastic Anchor and screw replaced due to vendor concern

Rev02 update -
650-173638 
ASSY-173638","Wall mount kit: Plastic Anchor and screw replaced due to vendor concern for Hard tooling.
Equivalent Off the shelf part selected as replacement.",05:40.0
Sherry Nguyen,M38209,"Proto: Open books SKU's, SW bundles for BNG CUPS User Plane support on ACX Combo Bundles: Update per the Affected Items Section.

1. Set Order Management flag to 'PP-Available to order' for the following SKU's.
S-WB-CB-10K-A2-1
S-WB-CB-10K-A2-3
S-WB-CB-10K-A2-5
S-WB-CB-10K-A2-P
S-WB-CB-1K-A2-1
S-WB-CB-1K-A2-3
S-WB-CB-1K-A2-5
S-WB-CB-1K-A2-P
S-WB-UP-10K-A2-1
S-WB-UP-10K-A2-3
S-WB-UP-10K-A2-5
S-WB-UP-10K-A2-P
S-WB-UP-1K-A2-1
S-WB-UP-1K-A2-3
S-WB-UP-1K-A2-5
S-WB-UP-1K-A2-P

2. Update the FRS date to 11/1/2024 

PDC Note: PDC will update the order management flag and FRS date before release of this MCO.",Prototype Release of SKU's for SW bundles for BNG CUPS User Plane support on ACX Combo Bundles. FRS date change also required.,07:54.0
Sherry Nguyen,M38676,"Proto: Open books. Update per the Affected Items Section.

1. Set Order Management flag to 'PP-Available to order' for the following SKU.
QDD-800G-DAC-1M

PDC Note: PDC will update the order management flag before release of this MCO.",Open books,14:57.0
Girija Amaragol,M38703,"Proto: MCO to update AVL as illustrated below

1). Adding Fanjing MPNs under respective JPNs to ""Comp_IPQ"" status

540-186800 => FANJING => BHA040500
540-173719 => FANJING => BHA060020
540-173875 => FANJING => BHA060019
540-173720 => FANJING => BHA060021

2). Removing Fanjing MPNs under respective JPNs

540-186800 => FANJING => 540-186800
540-173719 => FANJING => 540-173719
540-173875 => FANJING => 540-173875
540-173720 => FANJING => 540-173720",Replacing existing Fanjing MPNs with correct orderable ones,26:43.0
Abel Alcantar,DEV-25248,"Prod: 740-155266, Assy, OEM, DRAM, RDIMM, DDR4-2666, 16GB, 2Gx72, 1333MHz, Dual Rank, Registered, ECC, 288P, 1.2V, CT: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

740-155266->611-154810->650-155263->650-154809->SRX1600-AC (Total Assy Qty=6)

B. Sample Procurement Instructions:
Accton Taiwan can procure parts from production released JPN 740-167114.

C. Factory Instructions:

C1>. Qualification build:
Replace JPN:740-155266 with INNODISK: M4RE-AGS1BCUN-GB553 at two(2) locations, CONN12, CONN13 on the following assembly:
   1. SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Assy Qty two(2).  Label these assemblies as GROUP-1.

Replace JPN:740-155266 with SMART MODULAR: SR5722G8JNP29P2-SE at two(2) locations, CONN12, CONN13 on the following assembly:
   1. SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Assy Qty two(2).  Label these assemblies as GROUP-2.

   Replace JPN:740-155266 with NANYA: NT16GA72D8PFX3K-IX at two(2) locations, CONN12, CONN13 on the following assembly:
   1. SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Assy Qty two(2).  Label these assemblies as GROUP-3.

C1B>. All Qual Assemblies need to go through full MFG test prior to DVT test at CM.
   GROUP-1:  SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty two(2).
   GROUP-2:  SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty two(2).
   GROUP-3:  SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty two(2).

C1C>. DVT at CM for:
   GROUP-1: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).
   GROUP-2: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).
   GROUP-3: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).

C1D>. SW CERT at Juniper for:
   GROUP-1: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).
   GROUP-2: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).
   GROUP-3: SRX1600: 611-154810 => 650-155263 => 650-155809 => SRX1600-AC - Required Test Qty one(1).
    *NOTE:  See Special Instructions Section of DEV for shipping directions.

C2. Qualification boards will be new build or FGI.

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25248 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net and the DEV Originator.  
- Ensure email header subject line indicates the Qual DEV#, JPN, when shipped to Juniper testing. 

C4. The qualification assembly, not used for DVT, shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net and mlemeshow@uniper.net for Approval and copy DEV originator before performing DVT.  Once approved, Qual plan will be added to DEV.

C6. After completion of DVT, prepare and review HTR report. Email report to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net, and DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM.,55:31.0
Pooja Siraskar,DEV-25304,"Prod:This DEV is to allow Flex Penang to use old date code part 310-013120 (MICROCHIP) to support for qual build DEV-24771. Enclose solderability report. 

JPN: 310-013120
Flex PN: JNTG-310-013120-Q1
Supplier: MICROCHIP TECHNOLOGY IRELAND LIMITED
MPN: TC1270ANRVRCTR
MFR: MICROCHIP TECHNOLOGY
Qty: 7pcs
DC: 2214

No deviation label required.",This DEV is to allow Flex Penang to use old date code part to support qual build.,17:48.0
Sarangabani S,ECO-61168,"Prod: Power Cord CG BOM changes: Update per the Affected Items Section.

1. Remove CG_CBL-C13-07 and add CG_CBL-C13-NG-02 with qty 1 for following BOMs.

EX3400-48P
EX4100-24MP
EX4100-24P
EX4100-48MP
EX4100-48P
EX4100-F-48P
ME-X1
ME-X1-M

2. Move CG_CBL-C13-07 to ""Inactive"".",Consolidate multiple CG C13 BOM's to CG_CBL-C13-NG-02.,57:09.0
Prameela R,ECO-61444,"Proto: Proto release of ACX-Antman SKUs as per the affected item section.

-Structure BOM and release below SKU's to ""prototype"" lifecycle:
ACX702X-RMK-19 
ACX702X-RMK-21
ACX702X-RMK-23

Standalone release of the below JPN's to ""prototype"" lifecycle.
740-178578
740-178579

Note: Specs, Drawings are attached in the attachment section for 740 part numbers.","Initial bom structuring and releasing to ""prototype"" lifecycle of RMK sku's",16:19.0
Richard Hood,ECO-60895,"Prod: 611-135777, 611-168516, ODM, Assy, PCA's, Main boards, ACX-Ultron; ACX-UltronXL: Update per the Affected Items Section.

JPN: 310-161934 (IC, DRAM, GDDR6, 16 Gb, 512Mx16, 2 channel, 1.25V, 0.571ns, FBGA-180, 12X14X1.1mm, SAC305, Industrial temp- ODM Use only) as a replacement for JPN: 310-137016 (IC, DRAM, GDDR6, 8Gb, 256MX16, 2-Channel, 12Gbps, 1.25V, 1.143ns, 12 x 14mm, 0.75mm ball pitch, FBGA-180, SAC305, Industrial).

1. 611-135777, 611-168516:
- JPN: 310-161934 will replace JPN: 310-137016 in PCB locations U41 and U51.
- Add 310-143671 to 611-135777. This change reflects ""as-built"" condition.

2. 650/750/SKU's:
- Rev to Track.
- Updated Hybrid BOM files attached for 650 levels.

Do not mix the original and new products on the same PCB.","JPN: 310-137016 has been flagged as EOL and as on-hand quantities draw down, JPN: 310-161934 will begin to replace the original device.",40:37.0
Abel Alcantar,ECO-61469,"Prod: Juniper Security Director 24.4/.1: New SW Release per the Affected Items Section.

This ECO releases ""820"" P/N's into Production as standalone images.

1. ""820"" Application Package Production Release.",Production Release of Juniper Security Director 24.4/.1. These (2) images are being posted to the Web for download. Distribution Type - General,24:03.0
Sarangabani S,ECO-61336,"Prod:
Release the following SKUs to Production life cycle 
JNP10004-FAN3, 
JNP10004-FAN3-BB, 
JNP10004-FTC3, 
JNP10004-FTC3-BB, 
JNP10008-FAN3, 
JNP10008-FAN3-BB,
JNP10008-FTC3, 
JNP10008-FTC3-BB and their lower level assemblies to Production status. 

Noted:
1.PRR and MELT slides have been attached,
2.Release date will be a FRS Date.
3.Weight and DIM will be updated before release.",The lifecycle change is required as part of the standard release process.,01:56.0
Prameela R,ECO-61273,"Prod: New shippable junos release for SKU's, EX4650-48Y, QFX5120-48Y - Onyx and QFX5110-32Q/48S Pinnacle, Martini EX2300 per the affected items section.

1. For Onyx EX4650-48Y  models

EX4650-48Y-AFI
EX4650-48Y-AFO
EX4650-48Y-AO-U
EX4650-48Y-DC-AFI
EX4650-48Y-DC-AFO
EX4650-48Y-DC-AO-U

    - Remove Junos 22.4R3.25. Software P/N 817-179459. Filename: install-media-host-pxe-ex-4e-flex-x86-64-22.4R3.25-secure-signed.tgz
    - Add Junos 23.4R2-S2.1 Software P/N 817-185231 Filename: install-media-host-pxe-ex-4e-flex-x86-64-23.4R2-S2.1-secure-signed.tgz

2. For Onyx QFX5120-48Y models

JNP48Y8C-CHAS
QFX5120-48Y-AFI
QFX5120-48Y-AFI2
QFX5120-48Y-AFO
QFX5120-48Y-AFO2
QFX5120-48Y-D-AFI2
QFX5120-48Y-D-AFO2
QFX5120-48Y-DC-AFI
QFX5120-48Y-DC-AFO

- DELETE Junos 22.2R3-S2.8 Software P/N 817-175739. Filename: install-media-host-pxe-qfx-5e-flex-x86-64-22.2R3-S2.8-secure-signed.tgz
- ADD Junos 23.4R2-S2.1 Software P/N 817-185239. Filename: install-media-host-pxe-qfx-5e-flex-x86-64-23.4R2-S2.1-secure-signed.tgz

JNP48Y8C-CHAS:

- DELETE Junos 21.4R3-S5.17 Software P/N 810-178422. File name: jinstall-host-ex-4e-flex-x86-64-21.4R3-S5.17-secure-signed.tgz
- ADD Junos 23.4R2-S2.1 Software P/N 810-185131. Filename: jinstall-host-ex-4e-flex-x86-64-23.4R2-S2.1-secure-signed.tgz

3. For Pinnacle QFX5110-32Q/48S

QFX5110-32Q-AFI
QFX5110-32Q-AFI2
QFX5110-32Q-AFO
QFX5110-32Q-AFO2
QFX5110-32Q-CHAS
QFX5110-32Q-D-AFI2
QFX5110-32Q-D-AFO2
QFX5110-32Q-DC-AFI
QFX5110-32Q-DC-AFO
QFX5110-48S-AFI
QFX5110-48S-AFI2
QFX5110-48S-AFO
QFX5110-48S-AFO2
QFX5110-48S-D-AFI2
QFX5110-48S-D-AFO2
QFX5110-48S-DC-AFI
QFX5110-48S-DC-AFO

- DELETE Junos 20.2R2.11 Software P/N 817-129610. File name: install-media-pxe-qfx-5-flex-20.2R2.11-signed.tgz
- ADD Junos 23.4R2-S2.1 Software P/N 817-185239. Filename: install-media-host-pxe-qfx-5e-flex-x86-64-23.4R2-S2.1-secure-signed.tgz

QFX5110-32Q-AFI-T
QFX5110-32Q-AFI-T2
QFX5110-32Q-AFO-T
QFX5110-32Q-AFO-T2
QFX5110-48S-AFI-T
QFX5110-48S-AFI-T2
QFX5110-48S-AFO-T
QFX5110-48S-AFO-T2

- DELETE Junos 20.2R2.11 Software P/N 817-129609. File name: install-media-pxe-qfx-5-flex-20.2R2.11-signed.tgz
- ADD Junos 23.4R2-S2.1 Software P/N 817-185239. Filename: install-media-host-pxe-qfx-5e-flex-x86-64-23.4R2-S2.1-secure-signed.tgz.

For EX2300-Martini Royale: 

EX2300-24MP
EX2300-24MP-TAA
EX2300-48MP
EX2300-48MP-TAA

- Delete Junos 21.4R3-S7.6 Software P/N 811-181324. Filename: junos-install-media-net-ex-arm-32-21.4R3-S7.6.tgz
- Add Junos 23.4R2-S2.1 Software P/N 811-185203. Filename: junos-install-media-net-ex-arm-32-23.4R2-S2.1.tgz

Note:
- New shippable Junos release, regression report / test log as attached.","1. Onyx EX4650 update shippable Junos from 22.4R3.25 to 23.4R2-S2.1.
2. Onyx QFX5120 update shippable Junos from 22.2R3-S2.8 to 23.4R2-S2.1.
3. Pinnacle QFX5110-32Q/48S update shippable Junos from 20.2R2.11 to 23.4R2-S2.1.
4. Martini EX2300 Update shippable Junos from  21.4R3-S7.6 to 23.4R2-S2.1",45:32.0
Ranjith Soundarrajan,M38774,"Prod: MCO to update AVL as illustrated below

Adding Nefab Vietnam MPN under respective JPN to ""Active"" status

550-074781 => NEFAB VIETNAM => 550-074781",Adding Nefab Vietnam to the AVL as part of sourcing localization based of FAI report received,58:24.0
Abel Alcantar,ECO-61354,"Prod: vJunos-Router 24.4/R1: New SW Release per the Affected Items Section.

This ECO releases ""820/822"" P/N's into Production as standalone images.

1. ""820/822"" Application Package, Application Tools Production Release.",Production Release of vJunos-Router 24.4/R1. These (3) images are being posted to the Web for download. Distribution Type - General.,42:21.0
Abel Alcantar,ECO-61408,"Prod: Update affected items per BOM redlines and part attachments

1. Minor update mechanical drawing of 540-093377 to REV 03A
    No change in design, just correct document

2. Rev to track next level where used
750-160046 	 
750-160078	 
750-174928
750-174929	 
750-175197
750-180688
750-186403
750-155047
750-180076
750-175631
750-099260
750-119103
750-175199","Updated Drawing Template Unit
     IS: Inch      
WAS: Millimeter",31:31.0
Richard Hood,M38268,"Proto: Open Books/PP for MIST-SW Combo Bundles and Software licenses: Per the Affected Items Section.

Set ""Order Management Flag"" to ""PP-Available to Order"" for:
- Reference ""Affected Items"" section for list of SKU's. Too many to place on the MCO cover page.

Note: PDC to update the ""Order Management Flag"" to ""PP-AVAILABLE TO ORDER"" post CCB approvals and before release.",Open Books required in order to enable bookings in SAP.,56:07.0
Ranjith Soundarrajan,M38717,"Proto/Prod: 240-115523 ; Osc, 114.285MHz, 20ppm, 45/55, 3.3V, CMOS, 15pF, I-Temp, SMT-4, 3.2X2.5mm. Update per the Affected Items Section.

- Structure/Add below MPN in Comp_IPQ LC

    JPN               MPN
240-115523    VC-820-9022-114M285000  (MICROCHIP)
240-034561     7MA1470002 (TXC)

- Remove below incorrect MPN.

    JPN               MPN
240-115523    VC-820-9022-114M2850000  (MICROCHIP)
240-034561    7M-114.285MDIJ-T (TXC) - distributer MPN

Reference email attached",Correct MPN update per supplier feedback,44:17.0
Sherry Nguyen,M38732,"Prod: Optical Transceivers listed below need to change from PROD_IPQ state to ACTIVE. Update per the Affected Items Section.

1) EOLD-168HG-10-CJ
740-148032
EOPTOLINK
QDD-2X400G-LR4-10	

2) LMQ3826C-PC+JP
740-145103
HISENSE
QDD-2X400G-FR4","The qualification has been completed to move parts from ""Prod_IPQ"" to ""Active"". The OTR is attached.",02:42.0
